id,Month,Wellington,'Enrolments,'Enrolments,GST,'Gross,'Est
128,2003-08-01,243,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
129,2003-09-01,248,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
130,2003-10-01,263,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
131,2003-11-01,258,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
132,2003-12-01,256,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
133,2004-01-01,269,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
134,2004-02-01,286,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
135,2004-03-01,280,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
136,2004-04-01,231,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
137,2004-05-01,266,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
138,2004-06-01,264,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
139,2004-07-01,267,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
140,2004-08-01,274,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
141,2004-09-01,268,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
142,2004-10-01,269,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
143,2004-11-01,271,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
144,2004-12-01,270,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
145,2005-01-01,280,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
146,2005-02-01,295,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
147,2005-03-01,291,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
148,2005-04-01,278,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
149,2005-05-01,240,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
150,2005-06-01,277,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
151,2005-07-01,278,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
152,2005-08-01,276,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
